appid,name_x,release_date,price,rating,achievements,developer_id,publisher_id,gameid
10,Counter-Strike,2000-11-01,8.19,95.57,0,0,0,
20,Team Fortress Classic,1999-04-01,3.99,81.94,0,0,0,
30,Day of Defeat,2003-05-01,3.99,84.22,0,0,0,
40,Deathmatch Classic,2001-06-01,3.99,76.49,0,0,0,
50,Half-Life: Opposing Force,1999-11-01,3.99,92.92,0,1,0,
60,Ricochet,2000-11-01,3.99,76.97,0,0,0,
70,Half-Life,1998-11-08,8.19,94.86,0,0,0,
80,Counter-Strike: Condition Zero,2004-03-01,8.19,88.02,0,0,0,
130,Half-Life: Blue Shift,2001-06-01,3.99,88.66,0,1,0,
220,Half-Life 2,2004-11-16,8.19,96.03,33,0,0,
240,Counter-Strike: Source,2004-11-01,8.19,94.7,147,0,0,
280,Half-Life: Source,2004-06-01,8.19,70.57,0,0,0,
300,Day of Defeat: Source,2010-07-12,8.19,87.59,54,0,0,
320,Half-Life 2: Deathmatch,2004-11-01,3.99,86.5,0,0,0,
340,Half-Life 2: Lost Coast,2005-10-27,,85.56,0,0,0,
360,Half-Life Deathmatch: Source,2006-05-01,8.19,72.24,0,0,0,
380,Half-Life 2: Episode One,2006-06-01,6.59,93.25,13,0,0,
400,Portal,2007-10-10,8.19,96.88,15,0,0,
420,Half-Life 2: Episode Two,2007-10-10,6.59,94.79,23,0,0,
440,Team Fortress 2,2007-10-10,0.0,89.36,520,0,0,
500,Left 4 Dead,2008-11-17,8.19,94.0,73,0,0,
550,Left 4 Dead 2,2009-11-16,8.19,96.54,101,0,0,
570,Dota 2,2013-07-09,0.0,83.48,0,0,0,
620,Portal 2,2011-04-18,8.19,97.64,51,0,0,
630,Alien Swarm,2010-07-19,0.0,87.6,66,0,0,
730,Counter-Strike: Global Offensive,2012-08-21,0.0,86.63,167,0,0,
1002,Rag Doll Kung Fu,2005-10-12,0.79,63.53,0,2,1,
1200,Red Orchestra: Ostfront 41-45,2006-03-14,3.99,80.78,44,3,2,
1250,Killing Floor,2009-05-14,19.99,94.19,285,3,2,
1256,Killing Floor Outbreak Character Pack,2009-07-24,7.99,73.57,0,3,2,1250
1257,Killing Floor: Nightfall Character Pack,2010-05-19,7.99,77.25,0,3,2,1250
1300,SiN Episodes: Emergence,2006-05-10,8.19,81.82,0,4,3,
1313,SiN: Gold,2020-03-18,8.19,78.24,0,4,4,
1500,Darwinia,2005-07-14,8.19,72.84,0,5,5,
1510,Uplink,2006-08-23,9.99,86.17,0,5,5,
1520,DEFCON,2006-09-29,8.19,82.95,22,5,5,
1530,Multiwinia,2008-09-19,8.19,76.47,12,5,5,
1600,Dangerous Waters,2006-02-07,27.99,73.75,0,6,6,
1610,Space Empires IV Deluxe,2006-02-07,9.99,77.32,0,7,6,
1620,Jagged Alliance 2 Gold,2006-07-06,19.99,50.0,0,8,6,
1630,Disciples II: Rise of the Elves ,2006-07-06,6.99,80.13,0,8,6,
1640,Disciples II: Gallean's Return,2006-07-06,6.99,76.84,0,8,6,
1670,Iron Warriors: T - 72 Tank Command ,2006-07-26,4.99,59.69,0,8,6,
1690,Space Empires V,2006-10-16,14.99,66.84,0,7,6,
1700,Arx Fatalis,2007-04-03,4.99,83.06,0,9,7,
1900,Earth 2160,2006-04-01,4.99,66.24,0,10,8,
1930,Two Worlds Epic Edition,2009-04-30,9.99,73.4,0,10,8,
2100,Dark Messiah of Might and Magic,2006-10-25,4.99,87.87,0,9,9,
2200,Quake III Arena,2007-08-03,14.99,91.13,0,11,10,
2210,Quake 4,2011-08-04,14.99,83.2,0,12,11,
2270,Wolfenstein 3D,2007-08-03,4.99,89.81,0,11,12,
2280,Ultimate Doom,2007-08-03,4.99,93.53,0,11,10,
2290,Final DOOM,2007-08-03,4.99,80.53,0,11,10,
2300,DOOM II,2007-08-03,4.99,91.4,0,11,10,
2310,QUAKE,2007-08-03,9.99,93.01,35,11,11,
2320,QUAKE II,2007-08-03,4.99,87.91,0,11,10,
2330,QUAKE II Mission Pack: The Reckoning,2007-08-03,2.99,73.39,0,13,10,
2340,QUAKE II Mission Pack: Ground Zero,2007-08-03,2.99,56.15,0,14,10,
2350,QUAKE III: Team Arena,2007-08-03,14.99,75.38,0,11,10,
2360,HeXen: Beyond Heretic,2007-08-03,4.99,82.74,0,15,10,
2370,HeXen: Deathkings of the Dark Citadel,2007-08-03,4.99,72.46,0,15,10,
2390,Heretic: Shadow of the Serpent Riders,2007-08-03,4.99,88.49,0,15,10,
2400,The Ship: Murder Party,2006-07-11,9.99,80.6,0,16,13,
2420,The Ship: Single Player,2006-11-20,,63.3,0,16,14,
2450,Bloody Good Time,2010-10-29,4.99,73.84,12,16,9,
2500,Shadowgrounds,2006-05-08,4.99,77.12,0,17,15,
