id,dateOfPurchase,userId,purchasedWithWallet
1,2023-02-17,284,1
2,2023-09-16,332,0
3,2021-03-06,13,0
4,2021-12-03,202,0
5,2022-08-08,350,0
6,2021-07-03,992,1
7,2023-07-30,778,0
8,2021-08-08,609,0
9,2023-03-06,348,1
10,2021-06-17,803,0
11,2021-06-25,418,1
12,2021-05-15,239,0
13,2021-01-09,1,0
14,2021-11-23,518,1
15,2021-06-09,283,1
16,2022-04-20,846,1
17,2023-09-24,321,0
18,2023-05-20,295,1
19,2021-10-02,894,1
20,2022-08-02,513,0
21,2023-10-31,479,0
22,2021-11-17,784,1
23,2023-04-05,312,1
24,2022-07-30,149,1
25,2021-06-20,944,0
26,2023-07-09,925,1
27,2022-04-05,708,0
28,2021-12-26,595,1
29,2021-01-17,736,1
30,2022-04-15,510,0
31,2022-02-17,177,0
32,2023-07-07,709,1
33,2023-02-20,57,1
34,2023-07-13,245,1
35,2023-11-27,725,0
36,2022-11-23,66,0
37,2022-10-20,409,0
38,2021-07-04,971,0
39,2022-02-26,572,1
40,2022-02-08,361,1
41,2021-05-31,119,0
42,2023-06-01,707,0
43,2021-04-01,365,0
44,2022-10-16,207,1
45,2023-12-28,413,1
46,2023-12-07,644,0
47,2023-12-22,364,1
48,2021-05-18,596,1
49,2022-11-17,857,1
50,2023-05-25,327,1
51,2021-09-29,307,0
52,2023-12-23,550,1
53,2022-04-10,165,1
54,2023-03-16,376,1
55,2023-06-26,975,0
56,2023-04-01,694,0
57,2022-08-14,113,0
58,2021-10-11,123,0
59,2021-02-02,495,0
60,2022-11-27,873,0
61,2021-01-19,530,0
62,2023-10-30,2,1
63,2023-03-01,727,1
64,2021-04-04,611,0
65,2021-04-21,961,1
66,2021-03-18,500,1
67,2021-04-04,315,1
68,2023-12-24,141,0
69,2021-01-18,952,0
70,2023-11-22,433,0
71,2022-09-03,606,1
72,2023-11-17,106,0
73,2023-10-02,978,1
74,2021-05-17,141,0
75,2023-01-05,330,1
76,2021-10-10,321,0
77,2022-12-07,973,0
78,2022-10-17,603,0
79,2023-11-11,790,1
80,2021-07-13,855,1
81,2023-03-13,352,1
82,2023-12-21,687,1
83,2023-02-18,257,0
84,2021-12-08,451,1
85,2021-11-28,118,0
86,2023-10-26,874,0
87,2023-04-17,778,1
88,2022-08-02,992,1
89,2023-04-28,672,0
90,2021-06-24,812,1
91,2021-02-02,216,1
92,2023-08-29,905,0
93,2021-04-26,806,1
94,2023-07-21,343,0
95,2021-10-26,210,1
96,2021-06-11,369,0
97,2022-07-23,468,0
98,2022-04-14,126,0
99,2023-09-19,21,1
100,2023-11-01,742,0
101,2022-02-02,986,1
102,2021-07-29,663,0
103,2023-07-16,2,0
104,2022-05-27,17,0
105,2023-02-05,956,0
106,2021-07-29,825,1
107,2023-01-23,358,0
108,2021-12-25,121,0
109,2021-10-02,289,0
110,2023-08-12,529,1
111,2022-01-08,683,0
112,2023-02-16,796,0
113,2023-01-01,527,0
114,2023-01-06,946,0
115,2023-09-03,756,1
116,2021-02-09,778,1
117,2022-01-18,413,1
118,2021-02-14,305,1
119,2023-01-16,939,1
120,2022-01-05,975,0
121,2023-08-17,76,0
122,2022-08-26,228,0
123,2023-03-11,848,1
124,2022-05-28,134,0
125,2021-09-25,732,0
126,2022-03-22,939,0
127,2021-01-12,789,0
128,2021-06-15,56,0
129,2023-10-28,760,0
130,2023-04-16,514,0
131,2021-11-14,766,1
132,2023-03-11,498,0
133,2022-06-22,556,1
134,2022-05-17,162,0
135,2022-08-12,790,1
136,2022-11-10,961,0
137,2022-08-19,995,1
138,2022-10-24,366,1
139,2022-04-25,833,0
140,2021-04-04,872,0
141,2023-02-05,430,1
142,2021-11-11,798,1
143,2022-03-27,498,1
144,2023-03-26,410,0
145,2022-05-25,600,0
146,2021-10-20,980,0
147,2022-11-18,305,1
148,2021-09-17,581,1
149,2021-12-23,598,1
150,2023-02-25,749,1
151,2023-05-10,237,1
152,2022-03-07,383,1
153,2021-08-24,966,0
154,2021-03-13,699,1
155,2023-05-04,887,0
156,2021-05-02,210,1
157,2021-01-30,477,0
158,2021-05-27,132,0
159,2021-01-28,611,1
160,2021-12-15,54,0
161,2021-05-18,399,1
162,2023-04-22,159,0
163,2023-09-27,857,1
164,2022-11-11,349,0
165,2022-01-20,301,0
166,2021-02-01,773,0
167,2022-12-20,806,1
168,2022-06-12,624,0
169,2023-09-10,2,1
170,2023-11-16,829,1
171,2021-12-27,824,1
172,2021-06-20,122,0
173,2021-07-17,86,0
174,2021-01-03,879,0
175,2021-11-06,738,1
176,2022-02-01,566,1
177,2022-06-25,744,0
178,2023-02-08,867,1
179,2023-10-22,608,1
180,2022-09-27,703,1
181,2023-06-10,232,1
182,2023-12-03,873,0
183,2021-01-19,123,1
184,2022-09-19,315,1
185,2021-05-05,881,0
186,2023-12-23,51,1
187,2022-07-17,606,1
188,2023-04-13,567,1
189,2023-07-21,776,1
190,2022-07-07,549,1
191,2023-12-27,796,0
192,2021-06-30,362,1
193,2022-01-13,849,1
194,2021-11-27,223,0
195,2023-03-21,32,0
196,2023-03-18,768,1
197,2022-12-10,604,1
198,2022-06-19,227,0
199,2021-05-19,264,0
200,2022-04-08,248,1
201,2022-01-10,593,1
202,2022-08-20,440,0
203,2021-10-17,661,1
204,2021-11-22,899,0
205,2021-04-24,403,1
206,2021-10-12,143,0
207,2021-07-20,169,0
208,2022-12-13,784,0
209,2022-10-01,841,0
210,2023-11-14,774,1
211,2021-05-24,254,0
212,2023-03-03,981,0
213,2021-10-15,620,1
214,2021-02-25,535,1
215,2023-09-15,35,1
216,2022-12-07,584,1
217,2023-09-01,81,0
218,2021-04-09,139,1
219,2022-04-08,74,0
220,2023-02-10,106,1
221,2023-08-18,165,0
222,2023-06-12,541,1
223,2023-03-02,410,1
224,2021-10-14,615,0
225,2023-05-19,891,0
226,2023-10-04,393,1
227,2023-10-07,411,1
228,2021-07-21,191,0
229,2021-09-09,918,0
230,2023-03-03,665,1
231,2022-05-17,832,1
232,2023-09-24,146,0
233,2023-07-14,263,0
234,2022-02-10,666,0
235,2021-01-05,77,0
236,2021-02-05,288,1
237,2021-03-21,470,0
238,2021-09-28,794,0
239,2021-12-05,710,0
240,2021-05-13,90,0
241,2021-07-29,956,1
242,2023-01-20,240,0
243,2021-02-14,442,0
244,2022-03-30,34,0
245,2023-02-25,807,0
246,2022-08-18,457,1
247,2023-02-16,146,1
248,2022-12-06,184,1
249,2023-01-10,101,1
250,2023-08-01,539,0
251,2023-05-26,549,1
252,2023-06-10,51,1
253,2021-05-03,792,0
254,2023-04-04,811,0
255,2021-11-26,964,1
256,2023-07-06,477,0
257,2023-08-28,864,1
258,2022-11-15,779,0
259,2022-01-03,502,0
260,2021-05-06,803,0
261,2021-11-04,306,0
262,2022-07-18,683,0
263,2022-11-26,629,0
264,2021-06-28,209,1
265,2021-06-22,820,0
266,2021-05-11,152,1
267,2022-08-01,384,1
268,2022-07-20,720,0
269,2022-06-04,441,1
270,2023-05-25,579,1
271,2023-05-21,965,0
272,2021-11-11,759,1
273,2022-08-13,910,1
274,2021-05-02,295,0
275,2021-06-19,213,1
276,2021-10-04,806,1
277,2021-09-11,200,1
278,2021-07-19,411,0
279,2022-05-05,756,0
280,2021-08-12,13,0
281,2021-05-03,277,0
282,2022-05-28,506,0
283,2023-09-09,424,0
284,2021-04-05,703,0
285,2022-06-07,329,1
286,2021-03-10,311,1
287,2023-03-05,265,1
288,2021-09-21,270,1
289,2022-02-26,345,1
290,2021-12-16,627,1
291,2023-03-12,91,1
