id,dateOfPurchase,userId,purchasedWithWallet
1,2023-02-17,284,true
2,2023-09-16,332,false
3,2021-03-06,13,false
4,2021-12-03,202,false
5,2022-08-08,350,false
6,2021-07-03,992,true
7,2023-07-30,778,false
8,2021-08-08,609,false
9,2023-03-06,348,true
10,2021-06-17,803,false
11,2021-06-25,418,true
12,2021-05-15,239,false
13,2021-01-09,1,false
14,2021-11-23,518,true
15,2021-06-09,283,true
16,2022-04-20,846,true
17,2023-09-24,321,false
18,2023-05-20,295,true
19,2021-10-02,894,true
20,2022-08-02,513,false
21,2023-10-31,479,false
22,2021-11-17,784,true
23,2023-04-05,312,true
24,2022-07-30,149,true
25,2021-06-20,944,false
26,2023-07-09,925,true
27,2022-04-05,708,false
28,2021-12-26,595,true
29,2021-01-17,736,true
30,2022-04-15,510,false
31,2022-02-17,177,false
32,2023-07-07,709,true
33,2023-02-20,57,true
34,2023-07-13,245,true
35,2023-11-27,725,false
36,2022-11-23,66,false
37,2022-10-20,409,false
38,2021-07-04,971,false
39,2022-02-26,572,true
40,2022-02-08,361,true
41,2021-05-31,119,false
42,2023-06-01,707,false
43,2021-04-01,365,false
44,2022-10-16,207,true
45,2023-12-28,413,true
46,2023-12-07,644,false
47,2023-12-22,364,true
48,2021-05-18,596,true
49,2022-11-17,857,true
50,2023-05-25,327,true
51,2021-09-29,307,false
52,2023-12-23,550,true
53,2022-04-10,165,true
54,2023-03-16,376,true
55,2023-06-26,975,false
56,2023-04-01,694,false
57,2022-08-14,113,false
58,2021-10-11,123,false
59,2021-02-02,495,false
60,2022-11-27,873,false
61,2021-01-19,530,false
62,2023-10-30,2,true
63,2023-03-01,727,true
64,2021-04-04,611,false
65,2021-04-21,961,true
66,2021-03-18,500,true
67,2021-04-04,315,true
68,2023-12-24,141,false
69,2021-01-18,952,false
70,2023-11-22,433,false
71,2022-09-03,606,true
72,2023-11-17,106,false
73,2023-10-02,978,true
74,2021-05-17,141,false
75,2023-01-05,330,true
76,2021-10-10,321,false
77,2022-12-07,973,false
78,2022-10-17,603,false
79,2023-11-11,790,true
80,2021-07-13,855,true
81,2023-03-13,352,true
82,2023-12-21,687,true
83,2023-02-18,257,false
84,2021-12-08,451,true
85,2021-11-28,118,false
86,2023-10-26,874,false
87,2023-04-17,778,true
88,2022-08-02,992,true
89,2023-04-28,672,false
90,2021-06-24,812,true
91,2021-02-02,216,true
92,2023-08-29,905,false
93,2021-04-26,806,true
94,2023-07-21,343,false
95,2021-10-26,210,true
96,2021-06-11,369,false
97,2022-07-23,468,false
98,2022-04-14,126,false
99,2023-09-19,21,true
100,2023-11-01,742,false
101,2022-02-02,986,true
102,2021-07-29,663,false
103,2023-07-16,2,false
104,2022-05-27,17,false
105,2023-02-05,956,false
106,2021-07-29,825,true
107,2023-01-23,358,false
108,2021-12-25,121,false
109,2021-10-02,289,false
110,2023-08-12,529,true
111,2022-01-08,683,false
112,2023-02-16,796,false
113,2023-01-01,527,false
114,2023-01-06,946,false
115,2023-09-03,756,true
116,2021-02-09,778,true
117,2022-01-18,413,true
118,2021-02-14,305,true
119,2023-01-16,939,true
120,2022-01-05,975,false
121,2023-08-17,76,false
122,2022-08-26,228,false
123,2023-03-11,848,true
124,2022-05-28,134,false
125,2021-09-25,732,false
126,2022-03-22,939,false
127,2021-01-12,789,false
128,2021-06-15,56,false
129,2023-10-28,760,false
130,2023-04-16,514,false
131,2021-11-14,766,true
132,2023-03-11,498,false
133,2022-06-22,556,true
134,2022-05-17,162,false
135,2022-08-12,790,true
136,2022-11-10,961,false
137,2022-08-19,995,true
138,2022-10-24,366,true
139,2022-04-25,833,false
140,2021-04-04,872,false
141,2023-02-05,430,true
142,2021-11-11,798,true
143,2022-03-27,498,true
144,2023-03-26,410,false
145,2022-05-25,600,false
146,2021-10-20,980,false
147,2022-11-18,305,true
148,2021-09-17,581,true
149,2021-12-23,598,true
150,2023-02-25,749,true
151,2023-05-10,237,true
152,2022-03-07,383,true
153,2021-08-24,966,false
154,2021-03-13,699,true
155,2023-05-04,887,false
156,2021-05-02,210,true
157,2021-01-30,477,false
158,2021-05-27,132,false
159,2021-01-28,611,true
160,2021-12-15,54,false
161,2021-05-18,399,true
162,2023-04-22,159,false
163,2023-09-27,857,true
164,2022-11-11,349,false
165,2022-01-20,301,false
166,2021-02-01,773,false
167,2022-12-20,806,true
168,2022-06-12,624,false
169,2023-09-10,2,true
170,2023-11-16,829,true
171,2021-12-27,824,true
172,2021-06-20,122,false
173,2021-07-17,86,false
174,2021-01-03,879,false
175,2021-11-06,738,true
176,2022-02-01,566,true
177,2022-06-25,744,false
178,2023-02-08,867,true
179,2023-10-22,608,true
180,2022-09-27,703,true
181,2023-06-10,232,true
182,2023-12-03,873,false
183,2021-01-19,123,true
184,2022-09-19,315,true
185,2021-05-05,881,false
186,2023-12-23,51,true
187,2022-07-17,606,true
188,2023-04-13,567,true
189,2023-07-21,776,true
190,2022-07-07,549,true
191,2023-12-27,796,false
192,2021-06-30,362,true
193,2022-01-13,849,true
194,2021-11-27,223,false
195,2023-03-21,32,false
196,2023-03-18,768,true
197,2022-12-10,604,true
198,2022-06-19,227,false
199,2021-05-19,264,false
200,2022-04-08,248,true
201,2022-01-10,593,true
202,2022-08-20,440,false
203,2021-10-17,661,true
204,2021-11-22,899,false
205,2021-04-24,403,true
206,2021-10-12,143,false
207,2021-07-20,169,false
208,2022-12-13,784,false
209,2022-10-01,841,false
210,2023-11-14,774,true
211,2021-05-24,254,false
212,2023-03-03,981,false
213,2021-10-15,620,true
214,2021-02-25,535,true
215,2023-09-15,35,true
216,2022-12-07,584,true
217,2023-09-01,81,false
218,2021-04-09,139,true
219,2022-04-08,74,false
220,2023-02-10,106,true
221,2023-08-18,165,false
222,2023-06-12,541,true
223,2023-03-02,410,true
224,2021-10-14,615,false
225,2023-05-19,891,false
226,2023-10-04,393,true
227,2023-10-07,411,true
228,2021-07-21,191,false
229,2021-09-09,918,false
230,2023-03-03,665,true
231,2022-05-17,832,true
232,2023-09-24,146,false
233,2023-07-14,263,false
234,2022-02-10,666,false
235,2021-01-05,77,false
236,2021-02-05,288,true
237,2021-03-21,470,false
238,2021-09-28,794,false
239,2021-12-05,710,false
240,2021-05-13,90,false
241,2021-07-29,956,true
242,2023-01-20,240,false
243,2021-02-14,442,false
244,2022-03-30,34,false
245,2023-02-25,807,false
246,2022-08-18,457,true
247,2023-02-16,146,true
248,2022-12-06,184,true
249,2023-01-10,101,true
250,2023-08-01,539,false
251,2023-05-26,549,true
252,2023-06-10,51,true
253,2021-05-03,792,false
