id,game_id,purchase_id
8000,314650,171
8001,440,997
8002,50300,44
8003,21090,761
8004,239140,145
8005,15710,746
8006,270880,39
8007,6060,965
8008,254460,927
8009,12150,901
8010,316610,555
8011,284770,5
8012,252110,645
8013,47880,750
8014,105450,843
8015,319630,111
8016,270880,174
8017,247080,94
8018,314230,927
8019,8930,423
8020,255390,645
8021,11450,301
8022,2200,604
8023,361420,316
8024,292500,551
8025,271900,125
8026,259550,227
8027,39510,46
8028,233450,321
8029,2300,275
8030,239350,722
8031,367450,342
8032,322330,255
8033,3720,478
8034,333640,869
8035,2270,954
8036,40800,802
8037,22320,318
8038,251990,719
8039,252610,816
8040,71250,232
8041,330020,362
8042,105600,254
8043,9450,409
8044,4580,432
8045,235980,446
8046,285740,719
8047,247080,475
8048,331750,673
8049,359870,381
8050,306460,275
8051,310360,631
8052,57300,330
8053,39140,968
8054,20820,977
8055,346560,199
8056,252110,257
8057,339350,854
8058,218410,584
8059,214770,332
8060,15710,740
8061,24240,788
8062,306020,824
8063,20920,351
8064,252610,751
8065,4760,914
8066,211420,243
8067,108600,822
8068,314410,630
8069,47810,159
8070,22330,309
8071,203160,831
8072,380,655
8073,207350,414
8074,227300,236
8075,42670,601
8076,40700,288
8077,238210,687
8078,15710,19
8079,329130,39
8080,293760,207
8081,302610,486
8082,304430,65
8083,250110,753
8084,47780,466
8085,221380,199
8086,268990,715
8087,306020,459
8088,17470,564
8089,336140,339
8090,264080,397
8091,32370,476
8092,11450,742
8093,287700,798
8094,246840,716
8095,250320,405
8096,259530,968
8097,319510,822
8098,336140,444
8099,20820,533
8100,113200,423
8101,342580,136
8102,11450,663
8103,2630,876
8104,207610,993
8105,266840,727
8106,32150,177
8107,32150,554
8108,332570,704
8109,500,519
8110,322330,101
8111,310080,626
8112,243970,143
8113,259550,623
8114,283940,596
8115,367520,745
8116,24810,860
8117,352520,809
8118,380,305
8119,207690,460
8120,13240,820
8121,342560,108
8122,285740,721
8123,330830,902
8124,6910,627
8125,261030,640
8126,248820,8
8127,200900,489
8128,332200,935
8129,306020,716
8130,348550,777
8131,201810,927
8132,380,637
8133,4560,361
8134,217200,298
8135,314230,128
8136,266210,234
8137,319630,384
8138,248610,213
8139,259550,388
8140,355880,593
8141,286160,466
8142,352520,476
8143,290690,47
8144,344770,614
8145,253230,399
8146,259680,84
8147,15370,811
8148,4580,474
8149,293760,930
8150,207350,536
8151,252610,591
8152,8800,50
8153,250260,348
8154,362890,197
8155,200510,817
8156,314410,883
8157,288160,691
8158,7200,711
8159,130,36
8160,355880,643
8161,400,491
8162,420,590
8163,48700,595
8164,400,694
8165,107600,598
8166,9180,876
8167,400,660
8168,2990,454
8169,240,670
8170,248330,205
8171,2300,609
8172,220200,404
8173,40970,562
8174,17390,249
8175,8930,662
8176,32370,253
8177,32440,483
8178,283960,399
8179,246620,202
8180,10,330
8181,349250,200
8182,242820,829
8183,10090,744
8184,339350,408
8185,302610,811
8186,3320,355
8187,248820,147
8188,316720,28
8189,32440,874
8190,207080,964
8191,285920,542
8192,268990,375
8193,351090,498
8194,253110,825
8195,355170,211
8196,12150,782
8197,287700,597
8198,21090,949
8199,214730,791
8200,21090,349
8201,274170,529
8202,248310,897
8203,3900,323
8204,227300,668
8205,349250,809
8206,98800,878
8207,336140,948
8208,205910,33
8209,368340,916
8210,264080,527
8211,339350,261
8212,254700,69
8213,3320,268
8214,329130,689
8215,237930,699
8216,287980,238
8217,40800,464
8218,40950,352
8219,282140,926
8220,326480,361
8221,205100,739
8222,253230,792
8223,206420,19
8224,322110,495
8225,10,318
8226,250500,925
8227,310080,571
8228,209370,38
8229,304430,519
8230,256290,334
8231,322190,228
8232,235980,504
8233,206420,121
8234,7940,433
8235,251370,988
8236,362680,850
8237,359390,428
8238,360960,86
8239,233860,497
8240,400,527
8241,264710,54
8242,209370,61
8243,218060,189
8244,8930,784
8245,201810,230
8246,235320,344
8247,256290,314
8248,248310,601
8249,4560,571
8250,207170,681
8251,4760,200
8252,296470,737
8253,238460,797
8254,312520,67
8255,359390,1000
8256,2280,366
8257,323190,114
8258,48700,288
8259,368340,205
8260,284390,573
8261,2280,505
8262,331750,401
8263,230270,677
8264,351920,919
8265,272040,687
8266,223470,861
8267,235320,426
8268,115100,768
8269,238320,404
8270,343780,906
8271,274500,505
8272,7200,785
8273,284770,327
8274,353540,273
8275,4500,877
