id,game_id,purchase_id
10500,250900,142
10501,206440,772
10502,341800,854
10503,322330,681
10504,400,672
10505,400,131
10506,238460,461
10507,367520,435
10508,203160,37
10509,70,812
10510,227300,199
10511,32470,887
10512,288160,655
10513,620,892
10514,204360,382
10515,311690,91
10516,70,244
10517,400,837
10518,274190,198
10519,550,200
10520,250320,514
10521,324160,968
10522,204360,503
10523,324160,292
10524,3590,833
10525,620,843
10526,8930,260
10527,213670,449
10528,8930,855
10529,294100,761
10530,250320,421
10531,400,445
10532,10,817
10533,219740,749
10534,22380,276
10535,322330,773
10536,322330,887
10537,319630,15
10538,367520,540
10539,420,380
10540,240,525
10541,206190,797
10542,264710,969
10543,3590,511
10544,270880,786
10545,22380,162
10546,227300,211
10547,4000,872
10548,40970,836
10549,206440,569
10550,264200,799
10551,40970,622
10552,48700,473
10553,264710,72
10554,322330,26
10555,40970,554
10556,70,583
10557,319630,954
10558,32470,904
10559,213670,535
10560,274190,343
10561,221640,183
10562,238460,334
10563,284160,870
10564,238460,88
10565,48700,808
10566,274190,104
10567,294100,402
10568,268910,941
10569,22380,944
10570,311690,574
10571,311690,148
10572,337340,10
10573,105600,32
10574,238320,615
10575,205100,663
10576,105600,181
10577,620,180
10578,10,285
10579,10,371
10580,312530,596
10581,221640,320
10582,311690,761
10583,319630,803
10584,292030,238
10585,367520,884
10586,550,298
10587,420,853
10588,264710,335
10589,238460,955
10590,311690,700
10591,341800,305
10592,203160,862
10593,319630,966
10594,337340,842
10595,219150,519
10596,367520,418
10597,204360,965
10598,250320,656
10599,240,263
10600,550,74
10601,4000,961
10602,22380,332
10603,620,703
10604,48700,498
10605,250320,983
10606,324160,735
10607,312530,503
10608,219740,715
10609,70,963
10610,238460,92
10611,40970,776
10612,221640,445
10613,48700,2
10614,4000,695
10615,268910,257
10616,239030,100
10617,264200,662
10618,227300,773
10619,219740,25
10620,40970,333
10621,240,333
10622,40970,289
10623,284160,122
10624,284160,367
10625,264710,73
10626,324160,977
10627,206190,916
10628,207610,178
10629,288160,582
10630,253230,148
10631,319630,982
10632,620,848
10633,238320,474
10634,341800,331
10635,40970,290
10636,3590,278
10637,206190,855
10638,238460,284
10639,341800,34
10640,312530,796
10641,48700,644
10642,341800,829
10643,220,332
10644,250900,523
10645,48700,447
10646,3590,6
10647,239030,811
10648,40970,794
10649,219740,526
10650,312530,982
10651,250900,707
10652,367520,28
10653,292030,566
10654,250900,719
10655,292030,840
10656,32470,49
10657,274190,266
10658,8930,563
10659,219150,859
10660,219150,202
10661,337340,232
10662,10,753
10663,10,493
10664,284160,395
10665,264710,375
10666,288160,82
10667,206440,510
10668,264710,455
10669,70,995
10670,219150,820
10671,8930,377
10672,240,609
10673,400,160
10674,32470,566
10675,253230,351
